seed,state,rep,margin,requested_l1,l1_down,projection_down,gap_down,flip_down,global_flips_down,strict_flip_down,loss_down,l1_up,projection_up,gap_up,flip_up,global_flips_up,strict_flip_up,loss_up
11,2,0,0.380892318830397,0.05,0.049999999999999996,-0.011883020696139363,0.37926223535958314,0,1,0,0.007162648219040335,0.049999999999999996,0.011883020696139307,0.3824463906150095,0,0,0,0.0
11,2,1,0.380892318830397,0.05,0.049999999999999996,-0.011883020696139363,0.37926223535958314,0,1,0,0.007162648219040335,0.049999999999999996,0.011883020696139307,0.3824463906150095,0,0,0,0.0
11,2,2,0.380892318830397,0.05,0.04999999999999993,-0.011400619679607645,0.3793629270938297,0,1,0,0.007162648219040335,0.050000000000000024,0.011400619679608565,0.38241608841865204,0,0,0,0.0
11,2,3,0.380892318830397,0.05,0.049999999999999996,-0.011883020696139363,0.37926223535958314,0,1,0,0.007162648219040335,0.049999999999999996,0.011883020696139307,0.3824463906150095,0,0,0,0.0
11,2,4,0.380892318830397,0.05,0.04999999999999993,-0.011400619679607645,0.3793629270938297,0,1,0,0.007162648219040335,0.050000000000000024,0.011400619679608565,0.38241608841865204,0,0,0,0.0
11,2,0,0.380892318830397,0.15,0.15000000000000002,-0.03564906208841795,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.035649062088418115,0.38534681842523355,0,0,0,0.0
11,2,1,0.380892318830397,0.15,0.15000000000000002,-0.03564906208841795,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.035649062088418115,0.38534681842523355,0,0,0,0.0
11,2,2,0.380892318830397,0.15,0.14999999999999997,-0.06985092112724284,0.37075726513072205,0,1,0,0.007162648219040335,0.14999999999999997,0.0698509211272429,0.3895757203728403,0,0,0,0.0
11,2,3,0.380892318830397,0.15,0.14999999999999997,-0.03420185903882478,0.37628715225290676,0,1,0,0.007162648219040335,0.14999999999999997,0.03420185903882489,0.3854468847004533,0,0,0,0.0
11,2,4,0.380892318830397,0.15,0.15000000000000002,-0.03564906208841795,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.035649062088418115,0.38534681842523355,0,0,0,0.0
11,2,0,0.380892318830397,0.35,0.15000000000000002,-0.03564906208841806,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.03564906208841806,0.38534681842523355,0,0,0,0.0
11,2,1,0.380892318830397,0.35,0.15000000000000008,-0.06985092112724361,0.37075726513072205,0,1,0,0.007162648219040335,0.15000000000000008,0.06985092112724361,0.3895757203728394,0,0,0,0.0
11,2,2,0.380892318830397,0.35,0.15000000000000002,-0.03564906208841806,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.03564906208841806,0.38534681842523355,0,0,0,0.0
11,2,3,0.380892318830397,0.35,0.15000000000000002,-0.034201859038824584,0.37628715225290676,0,1,0,0.007162648219040335,0.15000000000000008,0.034201859038825555,0.3854468847004551,0,0,0,0.0
11,2,4,0.380892318830397,0.35,0.15000000000000008,-0.06985092112724361,0.37075726513072205,0,1,0,0.007162648219040335,0.15000000000000008,0.06985092112724361,0.3895757203728394,0,0,0,0.0
11,2,0,0.380892318830397,0.7,0.15000000000000002,-0.03564906208841806,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.03564906208841806,0.38534681842523355,0,0,0,0.0
11,2,1,0.380892318830397,0.7,0.15000000000000002,-0.03564906208841806,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.03564906208841806,0.38534681842523355,0,0,0,0.0
11,2,2,0.380892318830397,0.7,0.15000000000000008,-0.06985092112724361,0.37075726513072205,0,1,0,0.007162648219040335,0.15000000000000008,0.06985092112724361,0.3895757203728394,0,0,0,0.0
11,2,3,0.380892318830397,0.7,0.15000000000000008,-0.06985092112724361,0.37075726513072205,0,1,0,0.007162648219040335,0.15000000000000008,0.06985092112724361,0.3895757203728394,0,0,0,0.0
11,2,4,0.380892318830397,0.7,0.15000000000000002,-0.03564906208841806,0.37575057919895194,0,1,0,0.007162648219040335,0.15000000000000002,0.03564906208841806,0.38534681842523355,0,0,0,0.0
11,3,0,0.029790238440730477,0.05,0.050000000000000024,-0.0012417024322630421,0.028593070255329422,0,0,0,0.0,0.05000000000000002,0.0012417024322629866,0.030987045867343355,0,0,0,0.0
11,3,1,0.029790238440730477,0.05,0.05000000000000002,-0.012914839884499957,0.01701551094866005,0,1,0,0.007162648219040335,0.050000000000000024,0.012914839884499901,0.04193116666523533,0,0,0,0.0
11,3,2,0.029790238440730477,0.05,0.049999999999999996,-0.014156542316762999,0.015785114096404484,0,1,0,0.007162648219040335,0.049999999999999996,0.014156542316762888,0.04309650561392875,0,0,0,0.0
11,3,3,0.029790238440730477,0.05,0.050000000000000024,-0.0012417024322630421,0.028593070255329422,0,0,0,0.0,0.05000000000000002,0.0012417024322629866,0.030987045867343355,0,0,0,0.0
11,3,4,0.029790238440730477,0.05,0.05000000000000002,-0.012914839884499957,0.01701551094866005,0,1,0,0.007162648219040335,0.050000000000000024,0.012914839884499901,0.04193116666523533,0,0,0,0.0
11,3,0,0.029790238440730477,0.15,0.15000000000000002,-0.042469626950288664,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288886,0.0678117619560279,0,0,0,0.0
11,3,1,0.029790238440730477,0.15,0.14999999999999997,-0.03874451965349879,-0.009689768326047066,1,2,1,0.00931979413910522,0.14999999999999997,0.0387445196534989,0.06449137727926857,0,0,0,0.0
11,3,2,0.029790238440730477,0.15,0.14999999999999997,-0.0037251072967898757,0.02619765095548754,0,0,0,0.0,0.14999999999999997,0.0037251072967899868,0.03337957909627143,0,0,0,0.0
11,3,3,0.029790238440730477,0.15,0.15000000000000002,-0.042469626950288664,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288886,0.0678117619560279,0,0,0,0.0
11,3,4,0.029790238440730477,0.15,0.14999999999999997,-0.03874451965349879,-0.009689768326047066,1,2,1,0.00931979413910522,0.14999999999999997,0.0387445196534989,0.06449137727926857,0,0,0,0.0
11,3,0,0.029790238440730477,0.35,0.15000000000000002,-0.042469626950288775,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288775,0.0678117619560279,0,0,0,0.0
11,3,1,0.029790238440730477,0.35,0.15000000000000002,-0.042469626950288775,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288775,0.0678117619560279,0,0,0,0.0
11,3,2,0.029790238440730477,0.35,0.15000000000000002,-0.042469626950288775,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288775,0.0678117619560279,0,0,0,0.0
11,3,3,0.029790238440730477,0.35,0.15000000000000002,-0.042469626950288775,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288775,0.0678117619560279,0,0,0,0.0
11,3,4,0.029790238440730477,0.35,0.15000000000000002,-0.042469626950288775,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288775,0.0678117619560279,0,0,0,0.0
11,3,0,0.029790238440730477,0.7,0.15000000000000002,-0.042469626950288775,-0.013241892486652418,1,2,1,0.00931979413910522,0.15000000000000002,0.042469626950288775,0.0678117619560279,0,0,0,0.0
11,3,1,0.029790238440730477,0.7,0.15000000000000008,-0.0037251072967890986,0.02619765095548754,0,0,0,0.0,0.15000000000000008,0.0037251072967890986,0.03337957909627054,0,0,0,0.0
11,3,2,0.029790238440730477,0.7,0.15000000000000008,-0.0037251072967890986,0.02619765095548754,0,0,0,0.0,0.15000000000000008,0.0037251072967890986,0.03337957909627054,0,0,0,0.0
11,3,3,0.029790238440730477,0.7,0.15000000000000008,-0.038744519653499676,-0.009689768326047954,1,2,1,0.00931979413910522,0.15000000000000008,0.038744519653499676,0.06449137727926946,0,0,0,0.0
11,3,4,0.029790238440730477,0.7,0.15000000000000008,-0.038744519653499676,-0.009689768326047954,1,2,1,0.00931979413910522,0.15000000000000008,0.038744519653499676,0.06449137727926946,0,0,0,0.0
11,4,0,0.43743111417240854,0.05,0.04999999999999993,-0.01610317174340259,0.4352257743946808,0,1,0,0.007162648219040335,0.050000000000000024,0.01610317174340367,0.43951882087582295,0,0,0,0.0
11,4,1,0.43743111417240854,0.05,0.04999999999999993,-0.01610317174340259,0.4352257743946808,0,1,0,0.007162648219040335,0.050000000000000024,0.01610317174340367,0.43951882087582295,0,0,0,0.0
11,4,2,0.43743111417240854,0.05,0.049999999999999996,-0.012914839884499818,0.4357168054647902,0,1,0,0.007162648219040335,0.049999999999999996,0.012914839884499707,0.4391573103865376,0,0,0,0.0
