seed,episode,policy,return_value
187,16,learned_model,182.0
187,17,reference,99.0
187,17,learned_model,145.0
187,18,reference,114.0
187,18,learned_model,118.0
187,19,reference,82.0
187,19,learned_model,82.0
198,0,reference,132.0
198,0,learned_model,137.0
198,1,reference,74.0
198,1,learned_model,71.0
198,2,reference,166.0
198,2,learned_model,162.0
198,3,reference,198.0
198,3,learned_model,196.0
198,4,reference,84.0
198,4,learned_model,81.0
198,5,reference,78.0
198,5,learned_model,76.0
198,6,reference,245.0
198,6,learned_model,245.0
198,7,reference,91.0
198,7,learned_model,89.0
198,8,reference,143.0
198,8,learned_model,139.0
198,9,reference,92.0
198,9,learned_model,90.0
198,10,reference,108.0
198,10,learned_model,104.0
198,11,reference,89.0
198,11,learned_model,87.0
198,12,reference,160.0
198,12,learned_model,160.0
198,13,reference,83.0
198,13,learned_model,81.0
198,14,reference,68.0
198,14,learned_model,66.0
198,15,reference,69.0
198,15,learned_model,66.0
198,16,reference,138.0
198,16,learned_model,134.0
198,17,reference,110.0
198,17,learned_model,106.0
198,18,reference,107.0
198,18,learned_model,102.0
198,19,reference,152.0
198,19,learned_model,148.0
209,0,reference,73.0
209,0,learned_model,76.0
209,1,reference,85.0
209,1,learned_model,85.0
209,2,reference,108.0
209,2,learned_model,111.0
209,3,reference,322.0
209,3,learned_model,322.0
209,4,reference,82.0
209,4,learned_model,82.0
209,5,reference,314.0
209,5,learned_model,316.0
209,6,reference,134.0
209,6,learned_model,140.0
209,7,reference,285.0
209,7,learned_model,259.0
209,8,reference,189.0
209,8,learned_model,191.0
209,9,reference,76.0
209,9,learned_model,82.0
209,10,reference,100.0
209,10,learned_model,105.0
209,11,reference,137.0
209,11,learned_model,137.0
209,12,reference,194.0
209,12,learned_model,195.0
209,13,reference,288.0
209,13,learned_model,292.0
209,14,reference,99.0
209,14,learned_model,99.0
209,15,reference,85.0
209,15,learned_model,87.0
209,16,reference,84.0
209,16,learned_model,85.0
209,17,reference,79.0
209,17,learned_model,82.0
209,18,reference,83.0
209,18,learned_model,83.0
209,19,reference,283.0
209,19,learned_model,168.0
220,0,reference,259.0
220,0,learned_model,259.0
220,1,reference,80.0
220,1,learned_model,80.0
220,2,reference,228.0
220,2,learned_model,228.0
220,3,reference,229.0
220,3,learned_model,239.0
220,4,reference,164.0
220,4,learned_model,164.0
220,5,reference,66.0
220,5,learned_model,66.0
220,6,reference,66.0
220,6,learned_model,66.0
220,7,reference,190.0
220,7,learned_model,197.0
220,8,reference,204.0
220,8,learned_model,204.0
220,9,reference,238.0
220,9,learned_model,238.0
220,10,reference,170.0
220,10,learned_model,170.0
220,11,reference,115.0
220,11,learned_model,124.0
220,12,reference,120.0
220,12,learned_model,145.0
220,13,reference,78.0
220,13,learned_model,78.0
220,14,reference,144.0
220,14,learned_model,146.0
220,15,reference,91.0
220,15,learned_model,95.0
220,16,reference,244.0
220,16,learned_model,245.0
220,17,reference,147.0
220,17,learned_model,173.0
220,18,reference,172.0
220,18,learned_model,172.0
220,19,reference,190.0
220,19,learned_model,194.0
231,0,reference,204.0
231,0,learned_model,204.0
231,1,reference,176.0
231,1,learned_model,173.0
231,2,reference,82.0
231,2,learned_model,80.0
231,3,reference,108.0
231,3,learned_model,108.0
231,4,reference,77.0
231,4,learned_model,77.0
231,5,reference,70.0
231,5,learned_model,70.0
231,6,reference,76.0
231,6,learned_model,64.0
231,7,reference,206.0
231,7,learned_model,203.0
231,8,reference,244.0
231,8,learned_model,242.0
231,9,reference,259.0
231,9,learned_model,257.0
231,10,reference,77.0
231,10,learned_model,74.0
231,11,reference,81.0
231,11,learned_model,79.0
231,12,reference,126.0
231,12,learned_model,124.0
231,13,reference,182.0
231,13,learned_model,182.0
231,14,reference,206.0
231,14,learned_model,204.0
231,15,reference,117.0
231,15,learned_model,117.0
231,16,reference,283.0
