seed,algorithm,noise_level,real_steps,planning_updates,greedy_return,optimal_return,policy_loss
11,Dyna-Q,0.0,4100,20500,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4200,21000,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4300,21500,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4400,22000,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4500,22500,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4600,23000,6.197856483546392,6.263607903500317,0.06575141995392464
11,Dyna-Q,0.0,4700,23500,6.182149142751865,6.263607903500317,0.08145876074845138
11,Dyna-Q,0.0,4800,24000,6.103476481273137,6.263607903500317,0.16013142222718013
11,Dyna-Q,0.0,4900,24500,6.211806779627448,6.263607903500317,0.051801123872868615
11,Dyna-Q,0.0,5000,25000,6.211806779627448,6.263607903500317,0.051801123872868615
11,Dyna-Q,0.15,0,0,-2.0000000000000013,6.263607903500317,8.263607903500318
11,Dyna-Q,0.15,100,500,-1.9417181691183498,6.263607903500317,8.205326072618666
11,Dyna-Q,0.15,200,1000,0.0920592475605789,6.263607903500317,6.171548655939738
11,Dyna-Q,0.15,300,1500,-1.2748211608113114,6.263607903500317,7.538429064311628
11,Dyna-Q,0.15,400,2000,2.6070056994052173,6.263607903500317,3.6566022040950994
11,Dyna-Q,0.15,500,2500,1.2911073930196952,6.263607903500317,4.9725005104806215
11,Dyna-Q,0.15,600,3000,-1.958701159625138,6.263607903500317,8.222309063125454
11,Dyna-Q,0.15,700,3500,0.8849111883642351,6.263607903500317,5.378696715136082
11,Dyna-Q,0.15,800,4000,3.1510745979158292,6.263607903500317,3.1125333055844875
11,Dyna-Q,0.15,900,4500,5.659337818117677,6.263607903500317,0.6042700853826393
11,Dyna-Q,0.15,1000,5000,3.1510745979158292,6.263607903500317,3.1125333055844875
11,Dyna-Q,0.15,1100,5500,3.1593868144608206,6.263607903500317,3.104221089039496
11,Dyna-Q,0.15,1200,6000,5.782904970348728,6.263607903500317,0.48070293315158885
11,Dyna-Q,0.15,1300,6500,0.21744422553254122,6.263607903500317,6.046163677967775
11,Dyna-Q,0.15,1400,7000,0.5962652518165148,6.263607903500317,5.667342651683802
11,Dyna-Q,0.15,1500,7500,6.185321520045308,6.263607903500317,0.07828638345500849
11,Dyna-Q,0.15,1600,8000,6.007959688210846,6.263607903500317,0.25564821528947057
11,Dyna-Q,0.15,1700,8500,6.133362223755686,6.263607903500317,0.13024567974463075
11,Dyna-Q,0.15,1800,9000,5.9512928614580884,6.263607903500317,0.31231504204222826
11,Dyna-Q,0.15,1900,9500,5.689693266087706,6.263607903500317,0.573914637412611
11,Dyna-Q,0.15,2000,10000,2.713312397589397,6.263607903500317,3.5502955059109196
11,Dyna-Q,0.15,2100,10500,6.109166337497453,6.263607903500317,0.15444156600286352
11,Dyna-Q,0.15,2200,11000,6.109166337497453,6.263607903500317,0.15444156600286352
11,Dyna-Q,0.15,2300,11500,6.01519846379977,6.263607903500317,0.24840943970054674
11,Dyna-Q,0.15,2400,12000,5.658030046965146,6.263607903500317,0.605577856535171
11,Dyna-Q,0.15,2500,12500,6.085157988279311,6.263607903500317,0.17844991522100528
11,Dyna-Q,0.15,2600,13000,5.969059892261768,6.263607903500317,0.29454801123854857
11,Dyna-Q,0.15,2700,13500,3.3432240011086454,6.263607903500317,2.9203839023916713
11,Dyna-Q,0.15,2800,14000,5.422774207093148,6.263607903500317,0.8408336964071683
11,Dyna-Q,0.15,2900,14500,6.256162817535298,6.263607903500317,0.007445085965018805
11,Dyna-Q,0.15,3000,15000,3.2828962725549387,6.263607903500317,2.980711630945378
