seed,epoch,n_transitions,mse
33,54,600,7.599629931950115e-07
33,55,600,7.54067028645678e-07
33,56,600,7.142150143348963e-07
33,57,600,6.804033664533756e-07
33,58,600,6.806800534401478e-07
33,59,600,6.442725530058325e-07
33,60,600,6.161792416186902e-07
33,61,600,6.04827425233548e-07
33,62,600,5.851757802438922e-07
33,63,600,5.588543504736184e-07
33,64,600,5.494774014598654e-07
33,65,600,5.474815955159627e-07
33,66,600,5.393408515960562e-07
33,67,600,5.015316572242132e-07
33,68,600,4.920274387873896e-07
33,69,600,5.237279826755377e-07
33,70,600,4.6869269507815746e-07
33,71,600,4.592067974248206e-07
33,72,600,4.3688614943292986e-07
33,73,600,4.23612727511107e-07
33,74,600,4.13632456735214e-07
33,75,600,4.184058944271161e-07
33,76,600,4.0294285653137767e-07
33,77,600,3.841061918682212e-07
33,78,600,4.0286990488431534e-07
33,79,600,3.801904041647743e-07
33,80,600,3.8192655453210475e-07
33,81,600,3.615482784736837e-07
33,82,600,3.6127321287064035e-07
33,83,600,3.369899370921446e-07
33,84,600,3.212787930806371e-07
33,85,600,3.342257423056301e-07
33,86,600,3.354011170879283e-07
33,87,600,3.4219789702212056e-07
33,88,600,3.2117854986106405e-07
33,89,600,2.9964722000984595e-07
33,90,600,2.837967485902482e-07
33,91,600,3.097209813811213e-07
33,92,600,3.124806029650005e-07
33,93,600,3.0098491513878177e-07
33,94,600,2.800335060352441e-07
33,95,600,2.831394573676286e-07
33,96,600,2.72637330124924e-07
33,97,600,2.6907135973811146e-07
33,98,600,2.6344458146204967e-07
33,99,600,2.718282469291616e-07
33,100,600,2.5652732870783344e-07
33,101,600,2.388773927763348e-07
33,102,600,2.3598511450915648e-07
33,103,600,2.6840817452610185e-07
33,104,600,2.6866950705832435e-07
33,105,600,2.2548959217254762e-07
33,106,600,2.3266271742422277e-07
33,107,600,2.346722117869448e-07
33,108,600,2.2227641081647224e-07
33,109,600,2.2047539986440248e-07
33,110,600,2.290607732310204e-07
33,111,600,2.2770462253985993e-07
33,112,600,2.2281836375046433e-07
33,113,600,2.436037027115689e-07
33,114,600,2.1894852490109578e-07
33,115,600,1.8853447282427431e-07
33,116,600,2.0180476929298444e-07
33,117,600,2.145412384074438e-07
33,118,600,2.152756383260997e-07
33,119,600,1.9908948707169608e-07
44,0,600,0.018553749535931273
44,1,600,0.0022696618721391513
44,2,600,0.0003015739909881775
44,3,600,8.687026638654059e-05
44,4,600,4.356614161607515e-05
44,5,600,2.9586630434526964e-05
44,6,600,2.3143987451284804e-05
44,7,600,1.920305797906813e-05
44,8,600,1.650466369219909e-05
44,9,600,1.4201760596303135e-05
44,10,600,1.2482116639339915e-05
44,11,600,1.1237431858477833e-05
44,12,600,1.0344599592683248e-05
44,13,600,9.305720480992214e-06
44,14,600,8.37189742541293e-06
44,15,600,7.823057101057585e-06
44,16,600,7.1653485615809715e-06
44,17,600,6.663169097009813e-06
44,18,600,6.253780195134153e-06
44,19,600,5.682291279491006e-06
44,20,600,5.315519571300493e-06
44,21,600,4.798014137314136e-06
44,22,600,4.525885991537699e-06
44,23,600,4.216678786705367e-06
44,24,600,4.018239051698689e-06
44,25,600,3.734411097866542e-06
44,26,600,3.4322610465671077e-06
