seed,state,rep,requested_l1,actual_l1,margin,group,anchored_gap,q_error,decision_flip,strict_flip,policy_loss
11,3,4,0.7,0.7000000000000001,0.029790238440730477,narrow,-0.38272024318022435,0.41698071776476997,1,1,0.00931979413910522
11,4,0,0.05,0.04999999999999988,0.43743111417240854,wide,0.4341783541410358,0.026914140468406345,0,0,0.007162648219040335
11,4,1,0.05,0.05000000000000003,0.43743111417240854,wide,0.43461987057076357,0.023260924401381722,0,0,0.007162648219040335
11,4,2,0.05,0.05000000000000055,0.43743111417240854,wide,0.4344285210878276,0.024844197318134142,0,0,0.007162648219040335
11,4,3,0.05,0.04999999999999996,0.43743111417240854,wide,0.43389309431008183,0.029274450816061837,0,0,0.007162648219040335
11,4,4,0.05,0.05000000000000005,0.43743111417240854,wide,0.4340181257393638,0.028239909866694113,0,0,0.007162648219040335
11,4,0,0.15,0.15000000000000013,0.43743111417240854,wide,0.42876568240851487,0.0716152307308695,0,0,0.00931979413910522
11,4,1,0.15,0.15000000000000005,0.43743111417240854,wide,0.42547337653341355,0.09877646356318426,0,0,0.00931979413910522
11,4,2,0.15,0.1500000000000001,0.43743111417240854,wide,0.4221250303200037,0.1264000242395671,0,0,0.00931979413910522
11,4,3,0.15,0.14999999999999963,0.43743111417240854,wide,0.42910098397597984,0.06884902239881985,0,0,0.00931979413910522
11,4,4,0.15,0.15000000000000005,0.43743111417240854,wide,0.42119755826416583,0.134051586825076,0,0,0.00931979413910522
11,4,0,0.35,0.35000000000000014,0.43743111417240854,wide,0.3992848883913718,0.31482917887532125,0,0,0.00931979413910522
11,4,1,0.35,0.3500000000000001,0.43743111417240854,wide,0.40613242922232917,0.25833757150516945,0,0,0.00931979413910522
11,4,2,0.35,0.3499999999999999,0.43743111417240854,wide,0.4175621480130891,0.16404340047076182,0,0,0.00931979413910522
11,4,3,0.35,0.3500000000000002,0.43743111417240854,wide,0.41470766145049787,0.18759266262473062,0,0,0.00931979413910522
11,4,4,0.35,0.35000000000000026,0.43743111417240854,wide,0.4086440127444755,0.2376172291643508,0,0,0.00931979413910522
11,4,0,0.7,0.7000000000000001,0.43743111417240854,wide,0.23415606548996415,0.7507864310664232,0,0,0.00931979413910522
11,4,1,0.7,0.7,0.43743111417240854,wide,0.39439964177037634,0.35513203224027734,0,0,0.00931979413910522
11,4,2,0.7,0.7,0.43743111417240854,wide,0.3633472323037541,0.6010843246895465,0,0,0.00931979413910522
11,4,3,0.7,0.6999999999999997,0.43743111417240854,wide,0.38044027907883926,0.47029554214474967,0,0,0.00931979413910522
11,4,4,0.7,0.7000000000000001,0.43743111417240854,wide,0.29968526724152866,0.6748535343108477,0,0,0.00931979413910522
11,5,0,0.05,0.04999999999999997,0.3777360525069433,narrow,0.3828727039283031,0.035529259713673156,0,0,0.007162648219040335
11,5,1,0.05,0.05000000000000016,0.3777360525069433,narrow,0.38130557482550564,0.023493986683418733,0,0,0.007162648219040335
11,5,2,0.05,0.04999999999999992,0.3777360525069433,narrow,0.37798870286868436,0.001379281710815583,0,0,0.0
11,5,3,0.05,0.050000000000000024,0.3777360525069433,narrow,0.379159671327594,0.007771892305854955,0,0,0.0
11,5,4,0.05,0.04999999999999998,0.3777360525069433,narrow,0.38342444618085203,0.03976654216852893,0,0,0.007162648219040335
11,5,0,0.15,0.1499999999999996,0.3777360525069433,narrow,0.38950027424096945,0.08642782199403687,0,0,0.007162648219040335
11,5,1,0.15,0.14999999999999955,0.3777360525069433,narrow,0.39583934179098,0.13511073432429477,0,0,0.007162648219040335
11,5,2,0.15,0.15000000000000036,0.3777360525069433,narrow,0.38086636643903216,0.0201209443226551,0,0,0.007162648219040335
11,5,3,0.15,0.15000000000000038,0.3777360525069433,narrow,0.36939907558305496,0.04551364864587981,0,0,0.0
11,5,4,0.15,0.14999999999999963,0.3777360525069433,narrow,0.39075200355104744,0.09604088066284344,0,0,0.007162648219040335
11,5,0,0.35,0.3499999999999999,0.3777360525069433,narrow,0.40920083879542535,0.2377246569768916,0,0,0.007162648219040335
11,5,1,0.35,0.35,0.3777360525069433,narrow,0.40203506699249214,0.1826928028900534,0,0,0.007162648219040335
11,5,2,0.35,0.3500000000000006,0.3777360525069433,narrow,0.40066671988096925,0.17218414022901118,0,0,0.007162648219040335
11,5,3,0.35,0.34999999999999987,0.3777360525069433,narrow,0.40293830093422045,0.1896294790576052,0,0,0.007162648219040335
11,5,4,0.35,0.3500000000000001,0.3777360525069433,narrow,0.40789323026095037,0.22768245579473678,0,0,0.007162648219040335
11,5,0,0.7,0.7000000000000002,0.3777360525069433,narrow,0.44119185142704254,0.48340994917709157,0,0,0.007162648219040335
11,5,1,0.7,0.6999999999999998,0.3777360525069433,narrow,0.3690572771717884,0.047379611924857734,0,0,0.0
11,5,2,0.7,0.7,0.3777360525069433,narrow,0.43406581270514977,0.4286832380910388,0,0,0.007162648219040335
11,5,3,0.7,0.6999999999999998,0.3777360525069433,narrow,0.40416697397843393,0.1990654697018348,0,0,0.007162648219040335
11,5,4,0.7,0.7,0.3777360525069433,narrow,0.45342069857402034,0.5773253221967449,0,0,0.007162648219040335
11,6,0,0.05,0.050000000000000155,0.04202757962531489,narrow,0.08448171307819496,0.04268746381955246,0,0,0.0
11,6,1,0.05,0.050000000000000655,0.04202757962531489,narrow,0.07311267226127782,0.03125593809841565,0,0,0.0
11,6,2,0.05,0.05000000000000038,0.04202757962531489,narrow,0.08729655820672022,0.0455177794992947,0,0,0.0
